customer_id,signup_date,last_order_date,age,gender,country,membership_tier,total_orders,total_spend,churned
666434013,2024-07-05,23.08.2026,,unspecified,USA,Platinum,33,3510.52,FALSE
419539679,03-Jun-2026,,49,Female,IN,Bronze,0,0.0,Y
340237466,09/24/2025,2025-09-24,27,Female,usa,,2,69.52,1
916703017,2025-10-07,09/04/2026,20,f,Australia,bronze,6,494.05,No
906041147,2024-04-17,"June 28, 2026",48,F,U.K.,Gold,20,2256.8,No
872719933,2022-04-24,2026-07-12,71,MALE,United States,SILVER,8,901.71,No
923171281,2025-01-16,,26,Female,United States,Bronze,1,16.00 USD,yes
328233136,09/13/2023,,20,,Canada,Bronze,0,0.0,Y
939247598,01-Feb-2025,2025-10-11,28,Male,US,Bronze,1,48.73,Yes
603751740,2023-04-29,2026-08-29,34,F,United States,Silver,8,744.72,0
171169881,05/20/2024,2026/08/09,40,male,United States,Silver,18,$524.14,N
968241233,"January 23, 2022",2025-01-06,32,Male,US,Bronze,20,473.62,YES
322300677,2026-01-25,2026-01-25,44,,USA,Bronze,1,,Y
712493801,2022-08-24,2026-07-20,37,Female,United Kingdom,Bronze,3,85.85,no
364813456,2023-08-03,2026-08-01,33, Female,Mexico,Bronze,8,210.35,No
757958530,2020-04-09,2026/08/15,44,F,Australia,Silver,28,1318.39,No
456036641,"June 30, 2021",2026-08-22,48,Male ,usa,GLD,55,2837.79,0
938964666,2024-06-23,2026-03-01,35,Female,U.S.A.,silver,13,945.35,Y
583399211,27-Apr-2025,2026-08-21,49,female,U.S.A.,Bronze,8,471.64,No
987755944,17.06.2024,2026-08-20,65,MALE,United Kingdom,Bronze,5,252.46,no
337566226,02.03.2022,2026-07-04,36,female,United Kingdom,Bronze,6,221.71,N
264901422,09-Aug-2025,06.04.2026,72,femail,United States,Bronze,5,299.03,No
251952553,2024-11-11,2026-08-28,23,Female,Germany,Silver,15,720.12,No
266094593,19-Feb-2023,08/03/2026,32,female,India,Bronze,18,130.01,No
555955158,2025-08-15,,31,MALE,Canada,bronze,0,0.0,1
884905023,2023-05-06,2026-09-03,43,FEMALE,united states,Bronze,5,150.14,0
748748445,08/22/2024,2026-09-05,44,f,US,Silver,12,1024.01,No
625848734,11/25/2023,2025-05-19,49,N/A,Canada,brz,1,71.39,Y
834263192,29-Nov-2024,08/20/2026,35,F,United Kingdom,brz,8,332.67,No
367661352,2025-09-01,16-May-2026,49,female,germany,Bronze,7,130.87,no
523710770,04/19/2021,2026-05-07,52,male,Canada,Silver,11,1297.23,No
312903411,05/02/2021,07/23/2026,44,Female,U.S.A.,Silver,45,-1727.91,No
832879801,2023-04-05,2026-08-09,29,Female,Canada,Bronze,3,89.37,No
877396336,06-Feb-2022,2026/08/06,79,Female,US,Bronze,11,664.61,No
290955895,2026-08-09,09-Aug-2026,39,Male,UK,Bronze,3,254.91,Yes
624985865,06.02.2023,2026-08-23,32,Male,U.K.,gold,65,3685.33,No
800068674,2023-02-21,02-May-2026,62,Male,USA,Silver,10,964.49,No
331067546,01/11/2025,2026-08-31,55,Female,India,Silver,6,497.2,0
419103192,01/09/2026,2026-07-13,24,Male ,USA,BRONZE,1,66.2,No
146060177,"June 26, 2023",16.08.2026,23,Female,United Kingdom,Bronze,10,434.41,no
465370507,2023-04-21,2026-07-03,48,male,USA,BRONZE,13,478.49,No
119683472,01/15/2023,2026-08-18,62,female,India,SILVER,19,1055.87,N
886266480,2026-06-12,,40,Male,Canada,Bronze,0,0.0,Yes
985338742,"March 10, 2024",23.07.2026,30,Female,CA,Bronze,3,207.92,N
571590490,2021/11/10,2025-09-15,21,male,Canada,Bronze,7,219.63,yes
444951411,04/04/2024,2026-08-21,35,Male ,Australia,Gold,45,3863.83,No
915319687,2025-05-01,10/28/2025,54,Female,United States of America,brz,3,55.65,Yes
548238045,2023-04-08,09/04/2026,22,M,Canada,Bronze,2,,N
486236572,2024-02-01,2026-08-04,34,Other,USA,Bronze,16,491.89,N
697234254,05/02/2024,26-Aug-2026,47,Unspecified,United States,gold,32,1976.46,NO
554492333,2024/08/17,2026-09-01,64,Female,United States of America,silver,13,624.88,No
405780313,2024-03-05,2026/07/11,47,Female,USA,Bronze,9,290.37,No
102664652,2025-07-03,2025-07-03,29,Male,Australia,brz,1,16.84,Yes
857796344,2021-06-12,"August 21, 2026",?,male,united states,Platinum,59,4738.68,no
505248137,"May 21, 2023",2026-08-05,48,Female,India,silver,21,773.45,FALSE
717674738,2023-06-29,2026-08-14,65,Male,--,Silver,16,766.31,No
991235364,05/12/2023,08/09/2026,33,,CANADA,silver,30,625.09 USD,0
107643547,28.04.2025,,35,Female,United Kingdom,Bronze,0,0.0,Yes
591890918,2024-07-01,2025-08-14,53,MALE,USA,slv,7,594.17,Yes
513206740,2024-05-30,31-Jul-2026,25,F,US,Silver,14,873.38,No
842071018,04/25/2026,,40,Male,Brasil,Bronze,0,0.0,Yes
497315762,14-Sep-2021,2026-08-07,30,Male,United States,Silver,12,"$1,199.11",0
921505719,08-Jun-2023,2026/08/18,34,male,United States,brz,1,$39.72,No
704076962,05/15/2023,2026-07-26,,,USA,brz,2,142.69,No
179062841,2022-07-31,2026-08-16,37,m,USA,Silver,10,867.46,No
533329886,2024-10-20,2026-08-11,71,FEMALE,United States,Silver,5,592.11,N
587562857,"July 31, 2025",04.09.2025,49,Male,US,Bronze,2,101.47,Yes
425937422,28-May-2025,07/07/2026,22,Female,united states,Silver,27,1746.0,No
426922208,2024-08-30,2026-08-29,68,f,usa,  bronze ,1,35.4,0
161473670,2023-08-23,2026-06-23,38,female,CA,brz,6,147.02,no
991712063,2026/01/06,23.08.2026,77,Female,NULL,Silver,-19,,no
334340900,2021-03-27,"June 20, 2026",65,Female,United States of America,Silver,30,1037.67,No
725863073,2020-09-20,2026-06-09,41,male,United States,silver,43,1580.55,no
753189900,2026-03-05,05-Mar-2026,42,prefer not to say,United States,Bronze,2,,Yes
643358157,2023-04-06,2026-03-01,32,Male,U.K.,silver,12,565.1,Yes
148306771,2025-02-01,2026-03-01,62,Male,USA,brz,1,51.93,Yes
964269433,2023-03-15,2024-10-11,31,F,Germany,Bronze,2,341.75,Yes
795448648,08/13/2023,11-Aug-2026,51,Male,US,Silver,13,984.25,No
681673771,02/01/2024,2025-12-29,37,MALE,United States,Bronze,5,271.36,Yes
377106442,2025-07-09,2026-05-02,48,femail,Brazil,Silver,24,1145.77,No
964495955,"September 01, 2025",,65,Male,--,bronze,0,0.0,Yes
665306078,04/18/2024,2026/07/11,36,Female,United Kingdom,Gold,17,"$2,018.03",No
380289102,2023-11-29,08/09/2026,N/A, Female,U.S.A.,bronze,17,340.04,No
932649644,2026/04/14,,29,Female,United States,brz,1,35.41,Yes
613468580,2026-04-24,2026-04-24,43,O,Canada,bronze,1,48.27,Yes
936319178,12/07/2023,2026-08-02,50,Female,Brazil,Silver,30,1257.89,0
409878283,2022-05-14,2026/07/25,34,F,United States of America,Silver,9,714.11,0
647889389,2025-10-28,2026-08-16,34,male,IN,Bronze,2,-137.97,No
620784245,02-Oct-2025,2026/07/23,65,M,U.S.A.,Bronze,1,62.28,no
196447176,2020-05-14,"June 04, 2026",44,Male,U.K.,Plat,41,4267.46,No
701491342,2020-10-17,2026-02-11,62,Male,United States,silver,10,699.89,yes
172699275,07.05.2021,2026-08-22,58,U,Mexico,Gold,40,2605.72,No
233104977,16-Aug-2022,2026-05-23,48,M,usa,Silver,25,1453.67,No
938668224,"March 13, 2021",2026-03-11,27,Other,US,Bronze,5,466.97,N
383764427,2022-12-23,2026/08/09,46,female,United States,bronze,5,219.13,N
766988532,11/05/2024,2026-08-25,31,Female,Canada,Bronze,3,316.06,No
235757411,08-Mar-2022,2026-09-02,25,Male,India,Gold,37,3165.36,N
175387141,2022-10-06,08/03/2026,23,Female,U.S.A.,gold,71,3187.33,no
613468580,2026-04-24,2026-04-24,43,O,Canada,bronze,1,48.27,Yes
928269258,2025-03-08,08/09/2025,43,male,United States,BRONZE,8,341.04,Yes
830974200,2021-05-05,,74,F,US,bronze,0,0.0,
290083084,07/04/2021,2026-07-15,34,MALE,usa,GLD,18,"$2,226.62",No
466597443,"January 08, 2026",2026-07-08,32,M,CANADA,Silver,31,749.22,FALSE
932843079,2023-01-09,2026-07-31,29,Female,United States,Gold,31,1679.89,no
318285746,2023/06/08,07/20/2025,54,M,Canada,silver,4,810.97,Yes
710772917,2022-01-07,"August 22, 2026",58,Female,United States of America,Silver,11,,NO
414434630,2025-08-10,"August 01, 2026",38,Male,USA,Silver,11,685.26,no
960072432,06/08/2023,2026-07-22,57,Unspecified,usa,Bronze,6,299.4,No
425869614,2025-01-07,30.07.2026,38,f,United States,Silver,4,611.89,No
757726223,2025-07-24,2025-07-24,35,Male,Germany,Bronze,3,67.05,yes
188608285,21.08.2025,2026-02-20,59,Female,US,Bronze,2,292.55,Y
379750301,2023-06-11,"August 14, 2026",56,femail,United States,Silver,10,1013.56,0
880995263,2025-02-19,,27,MALE,Canada,Bronze,0,0.0,Yes
787169596,2024-09-15,,42,Male,mexico,Bronze,0,0.0,1
100986235,2024-08-28,08/14/2026,48,Male,United States,Bronze,6,242.37,No
829759299,13.08.2021,20-Jul-2026,38,FEMALE,USA,Silver,29,1320.49,0
794359412,2022-07-10,08/14/2026,40,female,United States,Silver,11,835.83,No
315961026,2024-12-25,2026-03-01,57,Male,United States,Bronze,1,35.49,Yes
973886939,2023-05-27,2026-08-20,46,Male,United States,Silver,38,1690.32,No
261741776,21-Aug-2025,"June 24, 2026",54,male,uk,gold,13,"$1,635.68",No
309125854,2025-06-04,06/23/2026,32,Female,Mexico,Bronze,2,306.09,no
200979571,2023-09-11,,58,Female,United States,BRONZE,0,0.0,Yes
395502993,2022-02-06,05/15/2026,23,MALE,US,GLD,43,2348.65,No
862268098,2021-02-13,04/05/2026,55,F,india,Gold,32,2052.62,N
941834095,2021-01-01,2025-03-19,72,Female,usa,  silver ,7,1263.56,Yes
752802269,2023-10-01,2026-03-01,31,male,MX,Bronze,3,$191.77,Yes
332051195,03/19/2023,08/17/2026,35,M,United States,Gold,20,1958.84,No
936464056,2024-05-23,05-Sep-2026,21,Female,U.S.A.,Silver,24,654.11,No
222842331,2023-02-25,02.05.2026,62,MALE,Canada,Bronze,17,478.78,no
753301897,26.03.2026,26-Mar-2026,23,Female,Mexico,Bronze,3,198.1,yes
179222137,2025-10-28,08-Jan-2026,37,Male,India,bronze,5,394.8,Yes
147905055,2025-07-09,,64,f,United States,Bronze,2,84.27,Yes
311844096,05/24/2024,06/29/2026,40, Female,India,Bronze,5,165.21,No
787566113,2020-10-13,14-May-2026,25,Other,US,Platinum,98,12629.60 USD,No
625626370,2026-04-09,,49,Male ,--,Bronze,0,0.0,Yes
589373120,2024/02/03,2026-06-12,55,M,US,Gold,12,1806.58,N
850909216,2022-12-23,03/01/2026,78,Male,US,bronze,2,100.83,Yes
268238334,26.09.2024,10-Jul-2026,57,male,India,Bronze,18,401.09 USD,N
384256489,2021-04-03,2026-07-17,53,female,--,Silver,32,1476.35,No
539473043,06/01/2024,2026/07/27,42,Other,UK,Silver,7,833.53,No
600462731,2024-07-21,2026/07/07,44,Female,United States,bronze,17,517.42,NO
274291525,15-Mar-2025,12.07.2026,35, Female,Great Britain,Bronze,3,275.69,no
543649413,18-Jan-2026,03/01/2026,63,female,india,Bronze,7,405.64,1
247317769,01/25/2026,25.01.2026,25,Female,United Kingdom,Bronze,1,57.97,Y
622735961,10/20/2024,2025-07-01,68,FEMALE,US,Bronze,2,204.81,TRUE
653908580,2023-07-15,2026-07-01,33,non-binary,United Kingdom,Bronze,7,243.02,No
444338515,09/21/2025,,54,Male,Can.,bronze,-999,0.0,1
639282178,2026-05-31,2026-05-31,23,Male ,Deutschland,BRONZE,1,61.11,1
239487003,2026-07-30,2026-07-30,60,unspecified,Mexico,Bronze,1,44.19,Yes
996758544,20-Jun-2025,2026-08-01,64,FEMALE,USA,BRONZE,9,-406.6,No
180456999,10/21/2022,2026-08-31,33,F,Germany,Gold,38,"$2,817.20",0
353498254,"March 02, 2024",2026-07-23,32,F,United States,brz,4,247.03,No
783789520,2023/02/19,2026-07-13,56,F,U.S.A.,Silver,23,691.0,FALSE
945458939,2025-01-15,07/16/2026,86,MALE,United States,Bronze,5,335.42,No
831403626,2023-10-09,11-Mar-2026,38,Female,AU,BRONZE,19,597.43,No
161322084,20-Dec-2023,08/09/2026,30,F,United States of America,SILVER,12,594.21,0
269064367,2024-01-30,2026-07-26,40,f,Canada,Gold,29,2270.84,No
996321065,2023-04-08,2026-08-13,NULL,male,USA,SILVER,26,1099.46,No
485795333,23.05.2024,2026-08-26,55,N/A,india,Silver,17,631.75,No
384131113,23.12.2025,07/10/2026,42,,India,Bronze,3,103.55,FALSE
241041664,2021-12-06,25-Aug-2026,26,MALE,United States,Gold,60,3170.35,No
207097429,,2026-08-07,55,F,United States,Silver,14,965.66,N
956522008,2023-12-12,2026-09-03,37,f,Brazil,Bronze,3,110.48,No
717887529,02/23/2026,2026-06-26,44,M,USA,SILVER,13,missing,No
222831121,2022-11-19,2026-07-09,55,Female,U.S.A.,silver,53,1704.91,No
117119419,11/01/2024,05/03/2026,unknown,Male,US,  gold ,31,2050.71,No
815764746,07/03/2026,07/03/2026,39,Male,United States of America,Bronze,1,95.61,Yes
985309690,2023-11-11,2026-06-08,50,female,Mexico,bronze,5,201.48,No
792938108,2024-06-17,2026-08-13,47,male,Canada,Bronze,6,417.88,No
831354786,2022-08-28,,77,Female,mexico,silver,6,906.71,Yes
428073136,09/18/2022,24-Apr-2026,35,FEMALE,Germany,slv,11,1173.39,N
472355826,2026/07/29,2026-07-29,32,Male,CA,BRONZE,1,$128.73,Yes
758183697,11/11/2025,2025-11-11,36,MALE,India,Bronze,5,-110.07,TRUE
435724266,03-Jun-2026,,56,MALE,United States,Bronze,0,0.0,Yes
363037029,09/27/2023,2026/07/05,47, Female,Mexico,SILVER,17,1466.94 USD,No
956552646,2023-09-10,2026-08-24,44,Female,UK,Bronze,23,551.43,N
293298755,2024-10-23,08/04/2026,63,Male,United States,SILVER,8,674.37 USD,No
743257869,27-Jun-2023,2026-05-25,,Other,Canada,Silver,3,533.54,NO
593478276,2021-07-02,,22,Male,United States,GLD,13,1729.61,No
719608862,2021-04-08,07/26/2026,47,MALE,United States,Bronze,6,157.64,No
759416635,06/03/2024,30.12.2025,46,Male,United States,BRONZE,26,409.49,Yes
951512537,2022-02-27,07/18/2026,30,Male,United States,Silver,16,missing,FALSE
352314569,2022-01-31,23-Jun-2023,39,M,United States of America,BRONZE,4,178.72,yes
194511405,06/16/2025,2026-05-26,54,male,UK,SILVER,10,,No
399937714,2025-07-16,,52,Female,Canada,Gold,12,1397.93,0
944540226,21-Apr-2025,16-Aug-2026,31,Female,USA,brz,10,530.45,No
100962621,2024-04-12,07/18/2026,71,F,US,Silver,18,754.95,0
724900059,"March 01, 2023",2026-08-25,55, Female,U.K.,Silver,13,752.39,No
464986355,2023-12-12,,31,Female,Australia,Silver,16,1590.69,No
